@relation microarray

@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute seedGC numeric
@attribute Pos_2 numeric
@attribute Class {Target,Non-Target}

@data
-18.2,-20.4,4,1,Non-Target
-28.5,-16.3,3,1,Non-Target
-23.2,-17.8,3,1,Non-Target
-18.2,-20.4,4,1,Non-Target
-28.5,-16.3,3,1,Non-Target
-23.2,-17.8,3,1,Non-Target
-18.2,-20.4,4,1,Non-Target
-28.5,-16.3,3,1,Non-Target
-19,-20.4,4,1,Non-Target
-24.9,-20.4,4,1,Non-Target
-21.3,-20.4,4,1,Non-Target
-25.1,-20.4,4,1,Non-Target
-20.8,-17.5,3,3,Non-Target
-24.6,-20.4,4,1,Non-Target
-25.14,-17.5,3,3,Non-Target
-25.2,-20.4,4,1,Non-Target
-24.7,-17.5,3,3,Non-Target
-24.6,-10.3,1,5,Non-Target
-21.6,-20.4,4,1,Non-Target
-20.6,-20.4,4,1,Non-Target
-20.1,-20.4,4,1,Non-Target
-31.3,-20.4,4,1,Non-Target
-33.2,-18.7,3,1,Non-Target
-21.1,-18.1,3,1,Non-Target
-23.7,-18.6,3,1,Non-Target
-29.5,-18.1,3,1,Non-Target
-26.4,-18.6,3,1,Non-Target
-18.2,-18.6,3,1,Non-Target
-21.1,-16,2,1,Non-Target
-26.2,-18.6,3,1,Non-Target
-21.1,-16,2,1,Non-Target
-24.2,-18.6,3,1,Non-Target
-25.7,-23.9,6,1,Non-Target
-27.7,-21.9,5,1,Non-Target
-28.3,-17.1,3,2,Non-Target
-21.6,-18.6,3,1,Non-Target
-34.1,-18.6,3,1,Non-Target
-22.1,-12.4,2,5,Non-Target
-23.9,-18.6,3,1,Non-Target
-24.2,-16.2,2,1,Non-Target
-23.5,-16,2,1,Non-Target
-17.79,-16,2,2,Non-Target
-18.4,-12.1,2,5,Non-Target
-22.7,-18.6,3,1,Non-Target
-22.4,-16.1,2,1,Non-Target
-26.8,-18.1,3,1,Non-Target
-22.7,-18.6,3,1,Non-Target
-22.4,-16.1,2,1,Non-Target
-26.8,-18.1,3,1,Non-Target
-22.7,-18.6,3,1,Non-Target
-26.8,-18.1,3,1,Non-Target
-22.7,-18.6,3,1,Non-Target
-22.4,-16.1,2,1,Non-Target
-26.8,-18.1,3,1,Non-Target
-22.7,-18.6,3,1,Non-Target
-22.4,-16.1,2,1,Non-Target
-26.8,-18.1,3,1,Non-Target
-22.4,-16.1,2,1,Non-Target
-26.8,-18.1,3,1,Non-Target
-16.09,-16,2,2,Non-Target
-15.5,-16.2,2,3,Non-Target
-22.4,-16.1,2,1,Non-Target
